0,1,2,Category,Adjusted_Max_Similarity_Score,Status
s008444005.py,1.0,32,Plagiarized,1.0,1
s177952529.py,1.0,21,Plagiarized,1.0,1
s253556017.py,1.0,26,Plagiarized,1.0,1
s567177851.py,1.0,30,Plagiarized,1.0,1
s839252610.py,0.94,27,Plagiarized,0.94,1
s854279009.py,0.94,27,Plagiarized,0.94,1
s269706758.py,0.9,26,Plagiarized,0.9,1
s374873684.py,0.9,25,Plagiarized,0.9,1
s052020898_changeLoopStructure.py,0.88,28,Plagiarized,0.88,1
s052020898_parametrizedBFS.py,0.88,24,Plagiarized,0.88,1
s449067310.py,0.88,31,Plagiarized,0.88,1
s085191454.py,0.86,32,Potentially Plagiarized,1.0533333333333332,1
s864633135.py,0.86,49,Potentially Plagiarized,1.0533333333333332,1
s216788460.py,0.85,43,Potentially Plagiarized,1.0433333333333332,1
s250531564.py,0.85,46,Potentially Plagiarized,1.0433333333333332,1
s841813222.py,0.84,50,Potentially Plagiarized,1.0333333333333332,1
s070755842.py,0.82,23,Potentially Plagiarized,1.0133333333333332,1
s255114464.py,0.82,29,Potentially Plagiarized,1.0133333333333332,1
s397180544.py,0.82,33,Potentially Plagiarized,1.0133333333333332,1
s945142879.py,0.82,38,Potentially Plagiarized,1.0133333333333332,1
s029221059.py,0.8,15,Potentially Plagiarized,0.9933333333333333,1
s215469299.py,0.8,17,Potentially Plagiarized,0.9933333333333333,1
s766684516.py,0.79,40,Potentially Plagiarized,0.9833333333333333,1
s633390557.py,0.79,17,Potentially Plagiarized,0.9833333333333333,1
s803889574.py,0.79,11,Potentially Plagiarized,0.9833333333333333,1
s630254507.py,0.73,16,Potentially Plagiarized,0.9233333333333332,1
s091532781.py,0.72,33,Potentially Plagiarized,0.9133333333333332,1
s895522531.py,0.72,36,Potentially Plagiarized,0.9133333333333332,1
s037043895.py,0.72,14,Potentially Plagiarized,0.9133333333333332,1
s136769960.py,0.72,12,Potentially Plagiarized,0.9133333333333332,1
s029434057.py,0.72,64,Potentially Plagiarized,0.9133333333333332,1
s039131846.py,0.72,59,Potentially Plagiarized,0.9133333333333332,1
s907654308.py,0.71,17,Potentially Plagiarized,0.9033333333333332,1
s137017012.py,0.69,39,Potentially Plagiarized,0.8833333333333332,1
s467624321.py,0.69,26,Potentially Plagiarized,0.8833333333333332,1
plag2.py,0.68,32,Potentially Plagiarized,0.8733333333333333,0
s089703073.py,0.68,26,Potentially Plagiarized,0.8733333333333333,0
s592117127.py,0.67,21,Potentially Plagiarized,0.8633333333333333,0
s691411959.py,0.67,25,Potentially Plagiarized,0.8633333333333333,0
s291574536.py,0.67,19,Potentially Plagiarized,0.8633333333333333,0
s351352193.py,0.67,21,Potentially Plagiarized,0.8633333333333333,0
s093853231.py,0.65,29,Potentially Plagiarized,0.8433333333333333,0
s471576839.py,0.65,23,Potentially Plagiarized,0.8433333333333333,0
s584859976.py,0.65,25,Potentially Plagiarized,0.8433333333333333,0
s558584857.py,0.63,31,Potentially Plagiarized,0.8233333333333333,0
s827796447.py,0.63,32,Potentially Plagiarized,0.8233333333333333,0
s171484301.py,0.63,17,Potentially Plagiarized,0.8233333333333333,0
s260096794.py,0.63,22,Potentially Plagiarized,0.8233333333333333,0
s215554231.py,0.62,26,Potentially Plagiarized,0.8133333333333332,0
s333329762.py,0.62,18,Potentially Plagiarized,0.8133333333333332,0
s698046262.py,0.61,12,Potentially Plagiarized,0.8033333333333332,0
s013813634.py,0.6,25,Potentially Plagiarized,0.7933333333333332,0
s366306369.py,0.6,32,Potentially Plagiarized,0.7933333333333332,0
s068607394.py,0.59,27,Potentially Suspicious,0.7066666666666667,0
s352808009.py,0.59,40,Potentially Suspicious,0.7066666666666667,0
s408010378.py,0.58,26,Potentially Suspicious,0.6966666666666667,0
s394246793.py,0.58,25,Potentially Suspicious,0.6966666666666667,0
s592978073.py,0.58,19,Potentially Suspicious,0.6966666666666667,0
s816192669.py,0.58,26,Potentially Suspicious,0.6966666666666667,0
s059168625.py,0.58,26,Potentially Suspicious,0.6966666666666667,0
s359122265.py,0.58,27,Potentially Suspicious,0.6966666666666667,0
s761242902.py,0.57,51,Potentially Suspicious,0.6866666666666666,0
s267813056.py,0.57,24,Potentially Suspicious,0.6866666666666666,0
s405690027.py,0.57,24,Potentially Suspicious,0.6866666666666666,0
s419240257.py,0.57,25,Potentially Suspicious,0.6866666666666666,0
s580090297.py,0.57,17,Potentially Suspicious,0.6866666666666666,0
s185721446.py,0.57,26,Potentially Suspicious,0.6866666666666666,0
s737193224.py,0.57,31,Potentially Suspicious,0.6866666666666666,0
s113065608.py,0.57,27,Potentially Suspicious,0.6866666666666666,0
