0,1,2,Category,Adjusted_Max_Similarity_Score,Status
plag3.py,1.0,13,Plagiarized,1.0,1
s138268642.py,1.0,14,Plagiarized,1.0,1
s190098982.py,1.0,14,Plagiarized,1.0,1
s259084774.py,1.0,13,Plagiarized,1.0,1
s317069441.py,1.0,15,Plagiarized,1.0,1
s318015421.py,1.0,13,Plagiarized,1.0,1
s418189085.py,1.0,13,Plagiarized,1.0,1
s488259162.py,1.0,12,Plagiarized,1.0,1
s508375359.py,1.0,11,Plagiarized,1.0,1
s557688363.py,1.0,16,Plagiarized,1.0,1
s665423282.py,1.0,14,Plagiarized,1.0,1
s765413670.py,1.0,13,Plagiarized,1.0,1
s866677007.py,1.0,24,Plagiarized,1.0,1
s898677482.py,1.0,13,Plagiarized,1.0,1
s899901295.py,1.0,11,Plagiarized,1.0,1
s954921887.py,1.0,19,Plagiarized,1.0,1
s988324195.py,1.0,15,Plagiarized,1.0,1
s997876748.py,1.0,17,Plagiarized,1.0,1
s832001628.py,0.94,15,Potentially Plagiarized,1.2933333333333332,1
s798211509.py,0.94,16,Potentially Plagiarized,1.2933333333333332,1
s384286704.py,0.93,12,Potentially Plagiarized,1.2833333333333334,1
s755669621.py,0.93,13,Potentially Plagiarized,1.2833333333333334,1
s229879413.py,0.93,15,Potentially Plagiarized,1.2833333333333334,1
s902609388.py,0.91,14,Potentially Plagiarized,1.2633333333333334,1
s042027763.py,0.91,21,Potentially Plagiarized,1.2633333333333334,1
s968245672.py,0.91,19,Potentially Plagiarized,1.2633333333333334,1
s913327635.py,0.91,13,Potentially Plagiarized,1.2633333333333334,1
s579523294.py,0.9,11,Potentially Plagiarized,1.2533333333333334,1
s463358162.py,0.89,12,Potentially Plagiarized,1.2433333333333334,1
s776904049.py,0.89,13,Potentially Plagiarized,1.2433333333333334,1
s636487664.py,0.88,15,Potentially Plagiarized,1.2333333333333334,1
s362326635.py,0.88,28,Potentially Plagiarized,1.2333333333333334,1
s611217345.py,0.88,25,Potentially Plagiarized,1.2333333333333334,1
s267858523.py,0.86,20,Potentially Plagiarized,1.2133333333333334,1
s643277230.py,0.86,18,Potentially Plagiarized,1.2133333333333334,1
s121663135.py,0.85,22,Potentially Plagiarized,1.2033333333333334,1
s166701237.py,0.85,25,Potentially Plagiarized,1.2033333333333334,1
s031256256.py,0.85,19,Potentially Plagiarized,1.2033333333333334,1
s132311175.py,0.85,23,Potentially Plagiarized,1.2033333333333334,1
s764370820.py,0.85,22,Potentially Plagiarized,1.2033333333333334,1
s519913484.py,0.84,26,Potentially Plagiarized,1.1933333333333334,1
s002112330.py,0.84,15,Potentially Plagiarized,1.1933333333333334,1
s112448633.py,0.84,20,Potentially Plagiarized,1.1933333333333334,1
s950408159.py,0.84,12,Potentially Plagiarized,1.1933333333333334,1
s658416519.py,0.84,13,Potentially Plagiarized,1.1933333333333334,1
s098880703.py,0.83,16,Potentially Plagiarized,1.1833333333333333,1
s297617559.py,0.83,54,Potentially Plagiarized,1.1833333333333333,1
s581418877.py,0.83,21,Potentially Plagiarized,1.1833333333333333,1
s541387650.py,0.83,20,Potentially Plagiarized,1.1833333333333333,1
s753993950.py,0.83,14,Potentially Plagiarized,1.1833333333333333,1
s818181461.py,0.83,17,Potentially Plagiarized,1.1833333333333333,1
s256568522.py,0.82,19,Potentially Plagiarized,1.1733333333333333,1
s517409475.py,0.82,14,Potentially Plagiarized,1.1733333333333333,1
s899239908.py,0.82,15,Potentially Plagiarized,1.1733333333333333,1
s396122025.py,0.82,13,Potentially Plagiarized,1.1733333333333333,1
s039912972.py,0.81,13,Potentially Plagiarized,1.1633333333333333,1
s113531717.py,0.81,12,Potentially Plagiarized,1.1633333333333333,1
s199113533.py,0.81,13,Potentially Plagiarized,1.1633333333333333,1
s311480893.py,0.81,10,Potentially Plagiarized,1.1633333333333333,1
s704496925.py,0.81,12,Potentially Plagiarized,1.1633333333333333,1
s240128807.py,0.8,13,Potentially Plagiarized,1.1533333333333333,1
s473376528.py,0.8,16,Potentially Plagiarized,1.1533333333333333,1
s546845992.py,0.8,12,Potentially Plagiarized,1.1533333333333333,1
s553891532.py,0.8,14,Potentially Plagiarized,1.1533333333333333,1
s874266600.py,0.8,14,Potentially Plagiarized,1.1533333333333333,1
s037274824.py,0.79,10,Potentially Plagiarized,1.1433333333333333,1
s194303027.py,0.79,9,Potentially Plagiarized,1.1433333333333333,1
s856132123.py,0.79,9,Potentially Plagiarized,1.1433333333333333,1
s020101126.py,0.79,28,Potentially Plagiarized,1.1433333333333333,1
s482867566.py,0.79,15,Potentially Plagiarized,1.1433333333333333,1
s899387522.py,0.79,17,Potentially Plagiarized,1.1433333333333333,1
s019521537.py,0.78,17,Potentially Plagiarized,1.1333333333333333,1
s969836680.py,0.78,21,Potentially Plagiarized,1.1333333333333333,1
s730394646.py,0.78,20,Potentially Plagiarized,1.1333333333333333,1
s427076696.py,0.78,20,Potentially Plagiarized,1.1333333333333333,1
s144163523.py,0.77,19,Potentially Plagiarized,1.1233333333333333,1
s421212118.py,0.77,16,Potentially Plagiarized,1.1233333333333333,1
s178278162.py,0.77,13,Potentially Plagiarized,1.1233333333333333,1
s070151309.py,0.76,22,Potentially Plagiarized,1.1133333333333333,1
s414685864.py,0.76,17,Potentially Plagiarized,1.1133333333333333,1
s474323944.py,0.76,17,Potentially Plagiarized,1.1133333333333333,1
s221416183.py,0.76,20,Potentially Plagiarized,1.1133333333333333,1
s893566455.py,0.76,21,Potentially Plagiarized,1.1133333333333333,1
s053687073.py,0.76,15,Potentially Plagiarized,1.1133333333333333,1
s240802587.py,0.75,21,Potentially Plagiarized,1.1033333333333333,1
s726313002.py,0.75,20,Potentially Plagiarized,1.1033333333333333,1
s683852188.py,0.75,15,Potentially Plagiarized,1.1033333333333333,1
s764393227.py,0.75,14,Potentially Plagiarized,1.1033333333333333,1
s864574875.py,0.75,28,Potentially Plagiarized,1.1033333333333333,1
s309269923.py,0.74,12,Potentially Plagiarized,1.0933333333333333,1
s572319048.py,0.73,13,Potentially Plagiarized,1.0833333333333333,1
s222492234.py,0.73,22,Potentially Plagiarized,1.0833333333333333,1
s986707016.py,0.73,18,Potentially Plagiarized,1.0833333333333333,1
s362806553.py,0.73,19,Potentially Plagiarized,1.0833333333333333,1
s729814947.py,0.72,22,Potentially Plagiarized,1.0733333333333333,1
s809493039.py,0.72,16,Potentially Plagiarized,1.0733333333333333,1
s350631301.py,0.72,21,Potentially Plagiarized,1.0733333333333333,1
s363657932.py,0.72,19,Potentially Plagiarized,1.0733333333333333,1
s482962303.py,0.72,23,Potentially Plagiarized,1.0733333333333333,1
s881718764.py,0.71,20,Potentially Plagiarized,1.0633333333333332,1
s172995787.py,0.71,25,Potentially Plagiarized,1.0633333333333332,1
s593461382.py,0.71,21,Potentially Plagiarized,1.0633333333333332,1
s322395962.py,0.7,14,Potentially Plagiarized,1.0533333333333332,1
s768956550.py,0.7,12,Potentially Plagiarized,1.0533333333333332,1
s769652115.py,0.7,28,Potentially Plagiarized,1.0533333333333332,1
s699824393.py,0.7,15,Potentially Plagiarized,1.0533333333333332,1
s969028556.py,0.7,10,Potentially Plagiarized,1.0533333333333332,1
s502798986.py,0.68,19,Potentially Plagiarized,1.0333333333333334,1
s550928671.py,0.68,20,Potentially Plagiarized,1.0333333333333334,1
s842622349.py,0.68,10,Potentially Plagiarized,1.0333333333333334,1
s655594458.py,0.67,14,Potentially Plagiarized,1.0233333333333334,1
s266276291.py,0.67,14,Potentially Plagiarized,1.0233333333333334,1
s910360894.py,0.67,14,Potentially Plagiarized,1.0233333333333334,1
s629552252.py,0.66,20,Potentially Plagiarized,1.0133333333333334,1
s326903711.py,0.66,17,Potentially Plagiarized,1.0133333333333334,1
