0,1,2,Category,Adjusted_Max_Similarity_Score,Status
s093981175.py,1.0,22,Plagiarized,1.0,1
s785295742.py,1.0,26,Plagiarized,1.0,1
s094982092.py,0.93,30,Plagiarized,0.93,1
s473638860.py,0.93,28,Plagiarized,0.93,1
s322855494.py,0.91,35,Plagiarized,0.91,1
s689681987.py,0.91,41,Plagiarized,0.91,1
s158303542.py,0.9,46,Plagiarized,0.9,1
s541253719.py,0.9,46,Plagiarized,0.9,1
s120027659.py,0.89,30,Plagiarized,0.89,1
s519674111.py,0.89,33,Plagiarized,0.89,1
s938613745.py,0.88,13,Plagiarized,0.88,1
s951977341.py,0.88,26,Plagiarized,0.88,1
s274036366.py,0.87,35,Plagiarized,0.87,1
s799173333.py,0.87,38,Plagiarized,0.87,1
s060758889.py,0.87,30,Plagiarized,0.87,1
s913886162.py,0.87,32,Plagiarized,0.87,1
s296139162.py,0.86,43,Plagiarized,0.86,1
s783543253.py,0.86,39,Plagiarized,0.86,1
s056276568.py,0.86,43,Plagiarized,0.86,1
s380712139.py,0.86,41,Plagiarized,0.86,1
s033606696.py,0.86,35,Plagiarized,0.86,1
s960299301.py,0.86,36,Plagiarized,0.86,1
s554123748.py,0.85,59,Plagiarized,0.85,1
s453504645.py,0.84,54,Plagiarized,0.84,1
s873189594.py,0.84,34,Plagiarized,0.84,1
s188498997.py,0.84,29,Plagiarized,0.84,1
s735031354.py,0.84,30,Plagiarized,0.84,1
s497077390.py,0.82,44,Plagiarized,0.82,1
s910691738.py,0.82,41,Plagiarized,0.82,1
s178051150.py,0.82,32,Plagiarized,0.82,1
s185523082.py,0.82,33,Plagiarized,0.82,1
s796423272.py,0.82,46,Plagiarized,0.82,1
s008255456.py,0.81,31,Plagiarized,0.81,1
s858159641.py,0.81,32,Plagiarized,0.81,1
s726634848.py,0.81,28,Plagiarized,0.81,1
s492223403.py,0.81,32,Plagiarized,0.81,1
s625564939.py,0.81,28,Plagiarized,0.81,1
s900825011.py,0.81,28,Plagiarized,0.81,1
s041630345.py,0.81,30,Plagiarized,0.81,1
s106978542.py,0.81,32,Plagiarized,0.81,1
s671080542.py,0.8,30,Plagiarized,0.8,1
plag3.py,0.8,33,Plagiarized,0.8,1
s079298021.py,0.8,30,Plagiarized,0.8,1
s391185214.py,0.8,37,Plagiarized,0.8,1
s036549251.py,0.79,42,Potentially Plagiarized,0.9900000000000001,1
s055953832.py,0.79,40,Potentially Plagiarized,0.9900000000000001,1
s647803068.py,0.79,33,Potentially Plagiarized,0.9900000000000001,1
s820492305.py,0.79,27,Potentially Plagiarized,0.9900000000000001,1
s612958951.py,0.79,62,Potentially Plagiarized,0.9900000000000001,1
s822457016.py,0.79,34,Potentially Plagiarized,0.9900000000000001,1
s945920020.py,0.79,32,Potentially Plagiarized,0.9900000000000001,1
s395753362.py,0.78,43,Potentially Plagiarized,0.9800000000000001,1
s676218731.py,0.78,51,Potentially Plagiarized,0.9800000000000001,1
s055188382.py,0.78,31,Potentially Plagiarized,0.9800000000000001,1
s762623520.py,0.78,36,Potentially Plagiarized,0.9800000000000001,1
s335527939.py,0.78,43,Potentially Plagiarized,0.9800000000000001,1
s070357044.py,0.78,34,Potentially Plagiarized,0.9800000000000001,1
s140458991.py,0.78,37,Potentially Plagiarized,0.9800000000000001,1
s337718535.py,0.78,39,Potentially Plagiarized,0.9800000000000001,1
s710769721.py,0.78,31,Potentially Plagiarized,0.9800000000000001,1
s049826969.py,0.78,35,Potentially Plagiarized,0.9800000000000001,1
s113205160.py,0.78,47,Potentially Plagiarized,0.9800000000000001,1
s323459955.py,0.77,41,Potentially Plagiarized,0.9700000000000001,1
s723043875.py,0.77,28,Potentially Plagiarized,0.9700000000000001,1
s497905758.py,0.77,37,Potentially Plagiarized,0.9700000000000001,1
s633768667.py,0.77,36,Potentially Plagiarized,0.9700000000000001,1
s110171887.py,0.77,33,Potentially Plagiarized,0.9700000000000001,1
s995734019.py,0.76,30,Potentially Plagiarized,0.9600000000000001,1
s207605167.py,0.76,47,Potentially Plagiarized,0.9600000000000001,1
s790150438.py,0.76,48,Potentially Plagiarized,0.9600000000000001,1
s138437669.py,0.76,31,Potentially Plagiarized,0.9600000000000001,1
s548211036.py,0.76,32,Potentially Plagiarized,0.9600000000000001,1
s977587691.py,0.76,32,Potentially Plagiarized,0.9600000000000001,1
s867154080.py,0.76,44,Potentially Plagiarized,0.9600000000000001,1
s791701303.py,0.76,44,Potentially Plagiarized,0.9600000000000001,1
s312530300.py,0.76,40,Potentially Plagiarized,0.9600000000000001,1
s894980683.py,0.75,38,Potentially Plagiarized,0.9500000000000001,1
s651010309.py,0.75,32,Potentially Plagiarized,0.9500000000000001,1
s979466261.py,0.75,49,Potentially Plagiarized,0.9500000000000001,1
s731883096.py,0.75,42,Potentially Plagiarized,0.9500000000000001,1
s771105246.py,0.75,32,Potentially Plagiarized,0.9500000000000001,1
s183604604.py,0.75,37,Potentially Plagiarized,0.9500000000000001,1
s236496032.py,0.74,39,Potentially Plagiarized,0.9400000000000001,1
s348117814.py,0.74,39,Potentially Plagiarized,0.9400000000000001,1
s611303549.py,0.74,36,Potentially Plagiarized,0.9400000000000001,1
s780744944.py,0.74,34,Potentially Plagiarized,0.9400000000000001,1
s628288409.py,0.74,39,Potentially Plagiarized,0.9400000000000001,1
s876292969.py,0.74,32,Potentially Plagiarized,0.9400000000000001,1
s318598826.py,0.74,36,Potentially Plagiarized,0.9400000000000001,1
s408642377.py,0.74,36,Potentially Plagiarized,0.9400000000000001,1
s488960168.py,0.73,39,Potentially Plagiarized,0.93,1
s629196254.py,0.73,41,Potentially Plagiarized,0.93,1
s480508694.py,0.73,29,Potentially Plagiarized,0.93,1
s123439914.py,0.73,41,Potentially Plagiarized,0.93,1
s072013357.py,0.73,29,Potentially Plagiarized,0.93,1
s255381715.py,0.73,34,Potentially Plagiarized,0.93,1
s785016890.py,0.72,55,Potentially Plagiarized,0.92,1
s556035314.py,0.72,32,Potentially Plagiarized,0.92,1
s119544370.py,0.72,42,Potentially Plagiarized,0.92,1
